Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
218mTBTw1_S00_L004_R1_001	(1.0, 41.595405139309065)	(2.0, 12.120331793002117)	(3.0, 3.901492525651747)	(4.0, 1.4488565530660718)	(5.0, 0.8640608222486874)	(6.0, 0.6923207894429616)	(7.0, 0.6215113069156899)	(8.0, 0.599363385267684)	(9.0, 0.5165110509305602)	('>10', 9.720603411014622)	('>50', 5.102648379769157)	('>100', 13.722613068150096)	('>500', 5.297844532452089)	('>1k', 3.7964372427795134)	('>5k', 0.0)	('>10k+', 0.0)
225fDMSOw5_S00_L001_R1_001	(1.0, 58.36594051970144)	(2.0, 9.529588884402893)	(3.0, 2.6642590204137933)	(4.0, 1.6612947861464)	(5.0, 1.3082900698855793)	(6.0, 1.1096065968292204)	(7.0, 0.9136684837153032)	(8.0, 0.8448442030964929)	(9.0, 0.7693366030340124)	('>10', 11.359278734807319)	('>50', 4.957878019706636)	('>100', 6.397724227722201)	('>500', 0.11828985053875221)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
225fDMSOw5_S00_L002_R1_001	(1.0, 58.50749968607415)	(2.0, 9.674510765969387)	(3.0, 2.8432202657908032)	(4.0, 1.7717716355211002)	(5.0, 1.4024154299995069)	(6.0, 1.1439232690827117)	(7.0, 1.0167845514578502)	(8.0, 0.8660013911488952)	(9.0, 0.7253133535021346)	('>10', 11.039868048738592)	('>50', 4.7305066983325625)	('>100', 6.170278048642578)	('>500', 0.10790685573972644)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
225fDMSOw5_S00_L003_R1_001	(1.0, 59.05899514419121)	(2.0, 9.31196525472906)	(3.0, 2.635421418808391)	(4.0, 1.7168745951540456)	(5.0, 1.370037196906675)	(6.0, 1.1861312374855266)	(7.0, 1.0102143304108058)	(8.0, 0.830978962130572)	(9.0, 0.7715878047788478)	('>10', 11.232132110175417)	('>50', 4.620912239125144)	('>100', 6.115602844374634)	('>500', 0.13914686172971788)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
225fDMSOw5_S00_L004_R1_001	(1.0, 58.585360637643866)	(2.0, 9.399744530382135)	(3.0, 2.7254522485746224)	(4.0, 1.7056675298795116)	(5.0, 1.3395356036282189)	(6.0, 1.1026239225243473)	(7.0, 0.9527945522378845)	(8.0, 0.8651568320155224)	(9.0, 0.7065749808047593)	('>10', 11.017894998340978)	('>50', 4.879250928654271)	('>100', 6.566754878287373)	('>500', 0.15318835702663972)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
226fDMSOw5_S00_L001_R1_001	(1.0, 63.002127971055685)	(2.0, 9.892309476495674)	(3.0, 2.508176020310938)	(4.0, 1.5040763520256362)	(5.0, 1.1320593809337487)	(6.0, 0.9498430329350485)	(7.0, 0.8009678667926661)	(8.0, 0.6795991470694923)	(9.0, 0.6315185831098307)	('>10', 9.659671275534894)	('>50', 4.203405950066708)	('>100', 4.9569813366022615)	('>500', 0.07926360706735813)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
226fDMSOw5_S00_L002_R1_001	(1.0, 62.85639429005441)	(2.0, 9.921593446790986)	(3.0, 2.670552736319667)	(4.0, 1.5486470999426136)	(5.0, 1.2107556423417074)	(6.0, 1.019173010762053)	(7.0, 0.8304231607922369)	(8.0, 0.788263307736267)	(9.0, 0.6611297216027319)	('>10', 9.665757772943044)	('>50', 3.95995921440788)	('>100', 4.798152044217533)	('>500', 0.06919855208888624)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
226fDMSOw5_S00_L003_R1_001	(1.0, 63.43302959191996)	(2.0, 9.787261677486054)	(3.0, 2.5683000781264895)	(4.0, 1.571529610617511)	(5.0, 1.1525941650470326)	(6.0, 0.9601095022084241)	(7.0, 0.8734839525836801)	(8.0, 0.7355366237261912)	(9.0, 0.6537579959561257)	('>10', 9.42016240484808)	('>50', 3.924675914585446)	('>100', 4.8424821454934435)	('>500', 0.07707633740148387)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
226fDMSOw5_S00_L004_R1_001	(1.0, 63.34574915979051)	(2.0, 9.574988380100894)	(3.0, 2.6242273748682647)	(4.0, 1.494965151741527)	(5.0, 1.1828123543808486)	(6.0, 0.9427478504956353)	(7.0, 0.7985098460857784)	(8.0, 0.7164768985681971)	(9.0, 0.611824728147405)	('>10', 9.504335420995016)	('>50', 3.9596951361599055)	('>100', 5.154416677909665)	('>500', 0.08925102075638335)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
227fDMSOw5_S00_L001_R1_001	(1.0, 59.77321037683561)	(2.0, 9.096262973011633)	(3.0, 2.614313936601093)	(4.0, 1.582641674602827)	(5.0, 1.1825077055091362)	(6.0, 1.0291116127885647)	(7.0, 0.8768692368138971)	(8.0, 0.7601555937866792)	(9.0, 0.6835519125221589)	('>10', 10.986027897097882)	('>50', 5.027493493655295)	('>100', 6.269892932692494)	('>500', 0.11796065408274045)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
